""	"task"	"categories"	"parents"	"children"	"siblings"
"1121"	"Head Detection"	"[]"	"['Object Detection']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', 'Weakly Supervised Object Detection', '3D Object Detection', 'Robust Object Detection', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Few-Shot Object Detection', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Surgical tool detection', 'Open World Object Detection', 'Object Detection In Indoor Scenes', 'Head Detection', 'Fish Detection', 'One-Shot Object Detection', 'Real-Time Object Detection', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', 'Video Object Detection', 'Dense Object Detection', '3D Object Detection From Monocular Images']"
"1122"	"Robust Object Detection"	"[]"	"['Object Detection']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', 'Weakly Supervised Object Detection', '3D Object Detection', 'Robust Object Detection', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Few-Shot Object Detection', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Surgical tool detection', 'Open World Object Detection', 'Object Detection In Indoor Scenes', 'Head Detection', 'Fish Detection', 'One-Shot Object Detection', 'Real-Time Object Detection', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', 'Video Object Detection', 'Dense Object Detection', '3D Object Detection From Monocular Images']"
"1123"	"Camouflaged Object Segmentation"	"['Computer Vision']"	"['Object Detection', 'Object Segmentation']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', 'Weakly Supervised Object Detection', '3D Object Detection', 'Robust Object Detection', 'Landslide segmentation', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Few-Shot Object Detection', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Surgical tool detection', 'Open World Object Detection', 'Object Detection In Indoor Scenes', 'Head Detection', 'Fish Detection', 'One-Shot Object Detection', 'Real-Time Object Detection', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', 'Video Object Detection', 'Dense Object Detection', '3D Object Detection From Monocular Images']"
"1124"	"One-Shot Object Detection"	"[]"	"['Object Detection']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', 'Weakly Supervised Object Detection', '3D Object Detection', 'Robust Object Detection', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Few-Shot Object Detection', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Surgical tool detection', 'Open World Object Detection', 'Object Detection In Indoor Scenes', 'Head Detection', 'Fish Detection', 'One-Shot Object Detection', 'Real-Time Object Detection', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', 'Video Object Detection', 'Dense Object Detection', '3D Object Detection From Monocular Images']"
"1125"	"Zero-Shot Object Detection"	"[]"	"['Object Detection']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', 'Weakly Supervised Object Detection', '3D Object Detection', 'Robust Object Detection', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Few-Shot Object Detection', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Surgical tool detection', 'Open World Object Detection', 'Object Detection In Indoor Scenes', 'Head Detection', 'Fish Detection', 'One-Shot Object Detection', 'Real-Time Object Detection', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', 'Video Object Detection', 'Dense Object Detection', '3D Object Detection From Monocular Images']"
"1126"	"Medical Object Detection"	"[]"	"['Object Detection']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', 'Weakly Supervised Object Detection', '3D Object Detection', 'Robust Object Detection', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Few-Shot Object Detection', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Surgical tool detection', 'Open World Object Detection', 'Object Detection In Indoor Scenes', 'Head Detection', 'Fish Detection', 'One-Shot Object Detection', 'Real-Time Object Detection', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', 'Video Object Detection', 'Dense Object Detection', '3D Object Detection From Monocular Images']"
"1127"	"Surgical tool detection"	"[]"	"['Object Detection']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', 'Weakly Supervised Object Detection', '3D Object Detection', 'Robust Object Detection', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Few-Shot Object Detection', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Surgical tool detection', 'Open World Object Detection', 'Object Detection In Indoor Scenes', 'Head Detection', 'Fish Detection', 'One-Shot Object Detection', 'Real-Time Object Detection', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', 'Video Object Detection', 'Dense Object Detection', '3D Object Detection From Monocular Images']"
"1128"	"Semantic Part Detection"	"[]"	"['Object Detection']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', 'Weakly Supervised Object Detection', '3D Object Detection', 'Robust Object Detection', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Few-Shot Object Detection', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Surgical tool detection', 'Open World Object Detection', 'Object Detection In Indoor Scenes', 'Head Detection', 'Fish Detection', 'One-Shot Object Detection', 'Real-Time Object Detection', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', 'Video Object Detection', 'Dense Object Detection', '3D Object Detection From Monocular Images']"
"1129"	"Object Skeleton Detection"	"[]"	"['Object Detection']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', 'Weakly Supervised Object Detection', '3D Object Detection', 'Robust Object Detection', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Few-Shot Object Detection', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Surgical tool detection', 'Open World Object Detection', 'Object Detection In Indoor Scenes', 'Head Detection', 'Fish Detection', 'One-Shot Object Detection', 'Real-Time Object Detection', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', 'Video Object Detection', 'Dense Object Detection', '3D Object Detection From Monocular Images']"
"1130"	"Multiview Detection"	"[]"	"['Object Detection']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', 'Weakly Supervised Object Detection', '3D Object Detection', 'Robust Object Detection', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Few-Shot Object Detection', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Surgical tool detection', 'Open World Object Detection', 'Object Detection In Indoor Scenes', 'Head Detection', 'Fish Detection', 'One-Shot Object Detection', 'Real-Time Object Detection', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', 'Video Object Detection', 'Dense Object Detection', '3D Object Detection From Monocular Images']"
"1131"	"Multiple Affordance Detection"	"[]"	"['Object Detection']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', 'Weakly Supervised Object Detection', '3D Object Detection', 'Robust Object Detection', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Few-Shot Object Detection', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Surgical tool detection', 'Open World Object Detection', 'Object Detection In Indoor Scenes', 'Head Detection', 'Fish Detection', 'One-Shot Object Detection', 'Real-Time Object Detection', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', 'Video Object Detection', 'Dense Object Detection', '3D Object Detection From Monocular Images']"
"1132"	"3D Object Detection From Monocular Images"	"[]"	"['Object Detection', '3D']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', '3D Plane Detection', '3D Face Reconstruction', '3D Object Classification', 'Weakly Supervised Object Detection', '3D Object Detection', 'Underwater 3D Scene Reconstruction', 'Robust Object Detection', '3D Object Retrieval', 'Face Reenactment', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Generating 3D Point Clouds', 'Few-Shot Object Detection', '3D Pose Estimation', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Neural Rendering', 'Surgical tool detection', 'Open World Object Detection', '3D Shape Generation', 'Object Detection In Indoor Scenes', 'Head Detection', 'Face Verification', 'Point Set Upsampling', '3D Reconstruction', '3D Shape Representation', '3D Point Cloud Matching', 'Fish Detection', '3D Scene Reconstruction', '3D Feature Matching', '3D Depth Estimation', '3D FACE MODELING', 'One-Shot Object Detection', '3D Surface Generation', 'Real-Time Object Detection', '3D Volumetric Reconstruction', 'Video Reconstruction', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', '3D Shape Reconstruction', '3D Shape Classification', 'Classify 3D Point Clouds', 'Video Object Detection', 'Dense Object Detection', '3D Shape Recognition', 'Multi-View 3D Shape Retrieval', '3D Geometry Perception', '3D Object Detection From Monocular Images']"
"1133"	"Fish Detection"	"[]"	"['Object Detection']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', 'Weakly Supervised Object Detection', '3D Object Detection', 'Robust Object Detection', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Few-Shot Object Detection', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Surgical tool detection', 'Open World Object Detection', 'Object Detection In Indoor Scenes', 'Head Detection', 'Fish Detection', 'One-Shot Object Detection', 'Real-Time Object Detection', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', 'Video Object Detection', 'Dense Object Detection', '3D Object Detection From Monocular Images']"
"1134"	"Open World Object Detection"	"[]"	"['Object Detection']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', 'Weakly Supervised Object Detection', '3D Object Detection', 'Robust Object Detection', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Few-Shot Object Detection', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Surgical tool detection', 'Open World Object Detection', 'Object Detection In Indoor Scenes', 'Head Detection', 'Fish Detection', 'One-Shot Object Detection', 'Real-Time Object Detection', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', 'Video Object Detection', 'Dense Object Detection', '3D Object Detection From Monocular Images']"
"1135"	"Object Detection In Indoor Scenes"	"[]"	"['Object Detection']"	"[]"	"['2D Object Detection', 'Object Proposal Generation', 'Medical Object Detection', 'Semantic Part Detection', 'RGB Salient Object Detection', 'Weakly Supervised Object Detection', '3D Object Detection', 'Robust Object Detection', 'Small Object Detection', 'Camouflaged Object Segmentation', 'Few-Shot Object Detection', 'Object Detection In Aerial Images', 'Zero-Shot Object Detection', 'Multiple Affordance Detection', 'Surgical tool detection', 'Open World Object Detection', 'Object Detection In Indoor Scenes', 'Head Detection', 'Fish Detection', 'One-Shot Object Detection', 'Real-Time Object Detection', 'Object Skeleton Detection', 'RGB-D Salient Object Detection', 'Multiview Detection', 'Video Object Detection', 'Dense Object Detection', '3D Object Detection From Monocular Images']"
"1136"	"Text Classification"	"['Adversarial', 'Natural Language Processing']"	"[]"	"['Topic Models', 'Document Classification', 'Sentence Classification', 'Emotion Classification', 'Multi-Label Text Classification', 'Text Categorization', 'Semi-Supervised Text Classification', 'Citation Intent Classification', 'Coherence Evaluation', 'Cross-Domain Text Classification', 'Satire Detection', 'Toxic Comment Classification', 'Hierarchical Text Classification of Blurbs (GermEval 2019)']"	"[]"
"1137"	"Topic Models"	"['Natural Language Processing']"	"['Text Classification']"	"[]"	"['Sentence Classification', 'Semi-Supervised Text Classification', 'Cross-Domain Text Classification', 'Emotion Classification', 'Topic Models', 'Satire Detection', 'Multi-Label Text Classification', 'Hierarchical Text Classification of Blurbs (GermEval 2019)', 'Text Categorization', 'Document Classification', 'Coherence Evaluation', 'Citation Intent Classification', 'Toxic Comment Classification']"
"1138"	"Document Classification"	"['Natural Language Processing']"	"['Text Classification']"	"['Page Stream Segmentation']"	"['Sentence Classification', 'Semi-Supervised Text Classification', 'Cross-Domain Text Classification', 'Emotion Classification', 'Topic Models', 'Satire Detection', 'Multi-Label Text Classification', 'Hierarchical Text Classification of Blurbs (GermEval 2019)', 'Text Categorization', 'Document Classification', 'Coherence Evaluation', 'Citation Intent Classification', 'Toxic Comment Classification']"
"1139"	"Sentence Classification"	"[]"	"['Text Classification']"	"[]"	"['Sentence Classification', 'Semi-Supervised Text Classification', 'Cross-Domain Text Classification', 'Emotion Classification', 'Topic Models', 'Satire Detection', 'Multi-Label Text Classification', 'Hierarchical Text Classification of Blurbs (GermEval 2019)', 'Text Categorization', 'Document Classification', 'Coherence Evaluation', 'Citation Intent Classification', 'Toxic Comment Classification']"
"1140"	"Emotion Classification"	"[]"	"['Text Classification']"	"[]"	"['Sentence Classification', 'Semi-Supervised Text Classification', 'Cross-Domain Text Classification', 'Emotion Classification', 'Topic Models', 'Satire Detection', 'Multi-Label Text Classification', 'Hierarchical Text Classification of Blurbs (GermEval 2019)', 'Text Categorization', 'Document Classification', 'Coherence Evaluation', 'Citation Intent Classification', 'Toxic Comment Classification']"
"1141"	"Text Categorization"	"[]"	"['Text Classification']"	"[]"	"['Sentence Classification', 'Semi-Supervised Text Classification', 'Cross-Domain Text Classification', 'Emotion Classification', 'Topic Models', 'Satire Detection', 'Multi-Label Text Classification', 'Hierarchical Text Classification of Blurbs (GermEval 2019)', 'Text Categorization', 'Document Classification', 'Coherence Evaluation', 'Citation Intent Classification', 'Toxic Comment Classification']"
"1142"	"Semi-Supervised Text Classification"	"[]"	"['Text Classification']"	"[]"	"['Sentence Classification', 'Semi-Supervised Text Classification', 'Cross-Domain Text Classification', 'Emotion Classification', 'Topic Models', 'Satire Detection', 'Multi-Label Text Classification', 'Hierarchical Text Classification of Blurbs (GermEval 2019)', 'Text Categorization', 'Document Classification', 'Coherence Evaluation', 'Citation Intent Classification', 'Toxic Comment Classification']"
"1143"	"Citation Intent Classification"	"[]"	"['Text Classification']"	"[]"	"['Sentence Classification', 'Semi-Supervised Text Classification', 'Cross-Domain Text Classification', 'Emotion Classification', 'Topic Models', 'Satire Detection', 'Multi-Label Text Classification', 'Hierarchical Text Classification of Blurbs (GermEval 2019)', 'Text Categorization', 'Document Classification', 'Coherence Evaluation', 'Citation Intent Classification', 'Toxic Comment Classification']"
"1144"	"Coherence Evaluation"	"[]"	"['Text Classification']"	"[]"	"['Sentence Classification', 'Semi-Supervised Text Classification', 'Cross-Domain Text Classification', 'Emotion Classification', 'Topic Models', 'Satire Detection', 'Multi-Label Text Classification', 'Hierarchical Text Classification of Blurbs (GermEval 2019)', 'Text Categorization', 'Document Classification', 'Coherence Evaluation', 'Citation Intent Classification', 'Toxic Comment Classification']"
"1145"	"Cross-Domain Text Classification"	"[]"	"['Text Classification']"	"[]"	"['Sentence Classification', 'Semi-Supervised Text Classification', 'Cross-Domain Text Classification', 'Emotion Classification', 'Topic Models', 'Satire Detection', 'Multi-Label Text Classification', 'Hierarchical Text Classification of Blurbs (GermEval 2019)', 'Text Categorization', 'Document Classification', 'Coherence Evaluation', 'Citation Intent Classification', 'Toxic Comment Classification']"
"1146"	"Satire Detection"	"[]"	"['Text Classification']"	"[]"	"['Sentence Classification', 'Semi-Supervised Text Classification', 'Cross-Domain Text Classification', 'Emotion Classification', 'Topic Models', 'Satire Detection', 'Multi-Label Text Classification', 'Hierarchical Text Classification of Blurbs (GermEval 2019)', 'Text Categorization', 'Document Classification', 'Coherence Evaluation', 'Citation Intent Classification', 'Toxic Comment Classification']"
"1147"	"Toxic Comment Classification"	"[]"	"['Text Classification']"	"[]"	"['Sentence Classification', 'Semi-Supervised Text Classification', 'Cross-Domain Text Classification', 'Emotion Classification', 'Topic Models', 'Satire Detection', 'Multi-Label Text Classification', 'Hierarchical Text Classification of Blurbs (GermEval 2019)', 'Text Categorization', 'Document Classification', 'Coherence Evaluation', 'Citation Intent Classification', 'Toxic Comment Classification']"
"1148"	"Hierarchical Text Classification of Blurbs (GermEval 2019)"	"[]"	"['Text Classification']"	"[]"	"['Sentence Classification', 'Semi-Supervised Text Classification', 'Cross-Domain Text Classification', 'Emotion Classification', 'Topic Models', 'Satire Detection', 'Multi-Label Text Classification', 'Hierarchical Text Classification of Blurbs (GermEval 2019)', 'Text Categorization', 'Document Classification', 'Coherence Evaluation', 'Citation Intent Classification', 'Toxic Comment Classification']"
"1149"	"Timeline Summarization"	"[]"	"['Abstractive Text Summarization']"	"[]"	"['Timeline Summarization', 'Multimodal Abstractive Text Summarization', 'Reader-Aware Summarization']"
"1150"	"Multimodal Abstractive Text Summarization"	"[]"	"['Abstractive Text Summarization']"	"[]"	"['Timeline Summarization', 'Multimodal Abstractive Text Summarization', 'Reader-Aware Summarization']"
"1151"	"Unsupervised Facial Landmark Detection"	"[]"	"['Facial Landmark Detection']"	"[]"	"['Unsupervised Facial Landmark Detection', '3D Facial Landmark Localization']"
"1152"	"3D Facial Landmark Localization"	"[]"	"['Facial Landmark Detection']"	"[]"	"['Unsupervised Facial Landmark Detection', '3D Facial Landmark Localization']"
"1153"	"Heart rate estimation"	"[]"	"['Photoplethysmography (PPG)']"	"[]"	"['Heart rate estimation', 'Blood pressure estimation']"
"1154"	"Blood pressure estimation"	"[]"	"['Photoplethysmography (PPG)']"	"[]"	"['Heart rate estimation', 'Blood pressure estimation']"
"1155"	"Audio Generation"	"['Audio']"	"[]"	"['Audio Super-Resolution']"	"[]"
"1156"	"Gaussian Processes"	"['Methodology']"	"[]"	"[]"	"[]"
"1157"	"Image Classification"	"['Computer Vision', 'Methodology']"	"[]"	"['Few-Shot Image Classification', 'Fine-Grained Image Classification', 'Semi-Supervised Image Classification', 'Small Data Image Classification', 'Hyperspectral Image Classification', 'Learning with noisy labels', 'Self-Supervised Image Classification', 'Sequential Image Classification', 'Genre classification', 'Unsupervised Image Classification', 'Multi-Label Image Classification', 'Document Image Classification', 'Sparse Representation-based Classification', 'Satellite Image Classification', 'Superpixel Image Classification', 'Photo geolocation estimation', 'Classification Consistency', 'Artistic style classification', 'Artist classification', 'Scale Generalisation']"	"[]"
"1158"	"Fine-Grained Image Classification"	"['Computer Vision']"	"['Image Classification']"	"['Displaced People Recognition']"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
"1159"	"Semi-Supervised Image Classification"	"[]"	"['Image Classification']"	"[]"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
"1160"	"Small Data Image Classification"	"[]"	"['Image Classification']"	"[]"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
"1161"	"Learning with noisy labels"	"[]"	"['Image Classification', 'Document Text Classification']"	"[]"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
"1162"	"Self-Supervised Image Classification"	"[]"	"['Image Classification']"	"[]"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
"1163"	"Sequential Image Classification"	"[]"	"['Image Classification']"	"[]"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
"1164"	"Genre classification"	"[]"	"['Image Classification']"	"[]"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
"1165"	"Unsupervised Image Classification"	"[]"	"['Image Classification']"	"[]"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
"1166"	"Sparse Representation-based Classification"	"[]"	"['Image Classification']"	"[]"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
"1167"	"Satellite Image Classification"	"[]"	"['Image Classification']"	"[]"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
"1168"	"Superpixel Image Classification"	"[]"	"['Image Classification']"	"[]"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
"1169"	"Photo geolocation estimation"	"[]"	"['Image Classification']"	"[]"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
"1170"	"Classification Consistency"	"[]"	"['Image Classification']"	"[]"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
"1171"	"Artistic style classification"	"[]"	"['Image Classification']"	"[]"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
"1172"	"Artist classification"	"[]"	"['Image Classification']"	"[]"	"['Superpixel Image Classification', 'Sequential Image Classification', 'Sparse Representation-based Classification', 'Document Image Classification', 'Fine-Grained Image Classification', 'Genre classification', 'Semi-Supervised Image Classification', 'Self-Supervised Image Classification', 'Artistic style classification', 'Hyperspectral Image Classification', 'Scale Generalisation', 'Satellite Image Classification', 'Small Data Image Classification', 'Multi-Label Image Classification', 'Few-Shot Image Classification', 'Learning with noisy labels', 'Photo geolocation estimation', 'Unsupervised Image Classification', 'Classification Consistency', 'Artist classification']"
